599|11:22:958|{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}
600|11:23:416|{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}
601|11:23:916|{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}
602|11:24:875|{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}{0.0,0.0,0.0,1.0}
603|11:25:333|{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}
604|11:25:833|{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}
605|11:26:791|{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}
606|11:27:208|{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}{1.0,1.0,0.0,1.0}
607|11:27:708|{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}{1.0,0.0,0.0,1.0}
608|11:28:666|{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{0.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}{1.0,1.0,1.0,1.0}
